ssid,rssi,mac,lat,lng,alt,hdop,sat,calidad,timestamp,color
TP-Link_0234,-84,E8:48:B8:56:02:34,-12.015799,-77.051048,126.3,0.86,11,Mala,2025-06-21T14:16:41.843021,red
FIIS_Docentes,-87,00:42:68:95:86:F0,-12.015799,-77.051048,126.3,0.86,11,Mala,2025-06-21T14:16:43.332634,red
R3PISOB,-87,F4:F2:6D:8B:83:B0,-12.015799,-77.051048,126.3,0.86,11,Mala,2025-06-21T14:16:43.861694,red
WI_FIIS,-88,00:42:68:95:86:F3,-12.015799,-77.051048,126.3,0.86,11,Mala,2025-06-21T14:16:44.624650,red
FIIS_Estudiantes,-89,00:42:68:95:86:F1,-12.015799,-77.051048,126.3,0.86,11,Mala,2025-06-21T14:16:48.552407,red
FIIS_Docentes,-89,50:06:04:8C:8E:10,-12.015799,-77.051048,126.3,0.86,11,Mala,2025-06-21T14:16:49.348922,red
HONOR X7b,-91,3A:1A:DE:BD:75:B8,-12.015799,-77.051048,126.3,0.86,11,Mala,2025-06-21T14:16:49.970355,red
Decanato,-91,84:D8:1B:6B:0F:A4,-12.015799,-77.051048,126.3,0.86,11,Mala,2025-06-21T14:16:51.671088,red
FIIS_Estudiantes,-91,50:06:04:8C:8E:11,-12.015799,-77.051048,126.3,0.86,11,Mala,2025-06-21T14:16:52.668083,red
FIIS_Estudiantes,-92,00:42:68:87:9D:91,-12.015799,-77.051048,126.3,0.86,11,Mala,2025-06-21T14:16:53.463429,red
FIIS_Docentes,-92,00:42:68:87:9D:90,-12.015799,-77.051048,126.3,0.86,11,Mala,2025-06-21T14:16:54.265771,red
Redmi 12,-92,B6:97:AC:0E:E2:24,-12.015799,-77.051048,126.3,0.86,11,Mala,2025-06-21T14:16:55.672502,red
MARCO DIAZ,-92,2C:96:82:3F:4A:D0,-12.015799,-77.051048,126.3,0.86,11,Mala,2025-06-21T14:16:56.147702,red
WI_FIIS,-93,50:06:04:8C:8E:13,-12.015799,-77.051048,126.3,0.86,11,Mala,2025-06-21T14:16:56.572490,red
CISCO,-93,16:8C:4A:EF:EC:5C,-12.015799,-77.051048,126.3,0.86,11,Mala,2025-06-21T14:16:57.753085,red
WIFI-FIP-L,-94,A8:BD:27:D9:3D:A0,-12.015799,-77.051048,126.3,0.86,11,Mala,2025-06-21T14:16:59.766943,red
WI_FIIS,-94,00:42:68:7B:CE:F3,-12.015799,-77.051048,126.3,0.86,11,Mala,2025-06-21T14:17:01.871129,red
EMERSON,-94,F8:79:28:84:58:1E,-12.015799,-77.051048,126.3,0.86,11,Mala,2025-06-21T14:17:03.267203,red
AVATAR,-94,28:F5:D1:A5:86:F7,-12.015799,-77.051048,126.3,0.86,11,Mala,2025-06-21T14:17:03.763020,red
HONOR Magic5 Lite 5G,-94,32:46:C0:DE:50:A7,-12.015799,-77.051048,126.3,0.86,11,Mala,2025-06-21T14:17:04.277774,red
WIFI-FIP-L,-95,A8:BD:27:D9:20:40,-12.015799,-77.051048,126.3,0.86,11,Mala,2025-06-21T14:17:05.177149,red
TP-Link_021E,-97,E8:48:B8:56:02:1E,-12.015799,-77.051048,126.3,0.86,11,Mala,2025-06-21T14:17:05.577861,red
TeleMallqui,-52,B2:A6:11:D3:04:F9,-12.015799,-77.051048,126.3,0.86,11,Buena,2025-06-21T14:17:09.596148,green
WI_FIIS,-81,00:42:68:95:86:F3,-12.015799,-77.051048,126.3,0.86,11,Mala,2025-06-21T14:17:11.149989,red
FIIS_Docentes,-82,00:42:68:95:86:F0,-12.015799,-77.051048,126.3,0.86,11,Mala,2025-06-21T14:17:11.873265,red
FIIS_Estudiantes,-82,00:42:68:95:86:F1,-12.015799,-77.051048,126.3,0.86,11,Mala,2025-06-21T14:17:12.541625,red
RAK7289CV2_D59D,-85,AC:1F:09:0C:D5:9D,-12.015799,-77.051048,126.3,0.86,11,Mala,2025-06-21T14:17:13.147248,red
TP-Link_9858,-86,40:ED:00:01:98:58,-12.015799,-77.051048,126.3,0.86,11,Mala,2025-06-21T14:17:13.562850,red
TP-Link_021E,-87,E8:48:B8:56:02:1E,-12.015799,-77.051048,126.3,0.86,11,Mala,2025-06-21T14:17:13.967728,red
EMERSON,-87,F8:79:28:84:58:1E,-12.015799,-77.051048,126.3,0.86,11,Mala,2025-06-21T14:17:14.365056,red
WI_FIIS,-88,00:42:68:7B:CE:53,-12.015799,-77.051048,126.3,0.86,11,Mala,2025-06-21T14:17:15.162450,red
FIIS_Docentes,-88,00:42:68:7B:CE:50,-12.015799,-77.051048,126.3,0.86,11,Mala,2025-06-21T14:17:15.572712,red
Lopez,-89,B0:CC:FE:37:29:E0,-12.015799,-77.051048,126.3,0.86,11,Mala,2025-06-21T14:17:15.975314,red
TP-Link_1EB0,-90,5C:A6:E6:DE:1E:AF,-12.015799,-77.051048,126.3,0.86,11,Mala,2025-06-21T14:17:16.378260,red
FIIS_Estudiantes,-90,00:81:C4:F0:36:F1,-12.015799,-77.051048,126.3,0.86,11,Mala,2025-06-21T14:17:17.032004,red
Decanato,-90,84:D8:1B:6B:0F:A4,-12.015799,-77.051048,126.3,0.86,11,Mala,2025-06-21T14:17:18.465348,red
FIIS_Estudiantes,-90,00:42:68:7B:CE:51,-12.015799,-77.051048,126.3,0.86,11,Mala,2025-06-21T14:17:18.865957,red
FIIS_Estudiantes,-90,50:06:04:8C:8E:11,-12.015799,-77.051048,126.3,0.86,11,Mala,2025-06-21T14:17:19.797438,red
FIIS_Docentes,-92,00:81:C4:F0:36:F0,-12.015799,-77.051048,126.3,0.86,11,Mala,2025-06-21T14:17:20.055117,red
WI_FIIS,-92,00:81:C4:F0:36:F3,-12.015799,-77.051048,126.3,0.86,11,Mala,2025-06-21T14:17:20.670778,red
FIIS_Docentes,-92,50:06:04:8C:8E:10,-12.015799,-77.051048,126.3,0.86,11,Mala,2025-06-21T14:17:21.132032,red
TP-Link_483C,-93,E4:FA:C4:21:48:3C,-12.015799,-77.051048,126.3,0.86,11,Mala,2025-06-21T14:17:21.492381,red
WI_FIIS,-93,50:06:04:8C:8E:13,-12.015799,-77.051048,126.3,0.86,11,Mala,2025-06-21T14:17:21.938242,red
WIFI-FIP-L,-93,A8:BD:27:D9:3B:40,-12.015799,-77.051048,126.3,0.86,11,Mala,2025-06-21T14:17:22.348152,red
WIFI-FIP-L,-94,A8:BD:27:D9:20:40,-12.015799,-77.051048,126.3,0.86,11,Mala,2025-06-21T14:17:22.735013,red
Galaxy A04249c,-96,0A:B0:7E:3C:4F:2C,-12.015799,-77.051048,126.3,0.86,11,Mala,2025-06-21T14:17:23.138611,red
Win2023,-96,14:46:58:0D:29:48,-12.015799,-77.051048,126.3,0.86,11,Mala,2025-06-21T14:17:23.543462,red
TeleMallqui,-34,B2:A6:11:D3:04:F9,-12.016358,-77.051041,126.0,0.95,11,Buena,2025-06-21T14:17:28.239130,green
Decanato,-69,84:D8:1B:6B:0F:A4,-12.016358,-77.051041,126.0,0.95,11,Buena,2025-06-21T14:17:30.945204,green
RAK7289CV2_D59D,-79,AC:1F:09:0C:D5:9D,-12.016358,-77.051041,126.0,0.95,11,Intermedia,2025-06-21T14:17:31.746085,orange
TP-Link_1EB0,-82,5C:A6:E6:DE:1E:AF,-12.016358,-77.051041,126.0,0.95,11,Mala,2025-06-21T14:17:33.416224,red
